#Years    WideImaging%    DeepImaging%    Prism%    NearbySNe    WideImagingFilters    DeepImagingFilters    WideImagingCadence    DeepImagingCadence    PrismCadence    RubinDDF    ZWide    ZDeep    WideImagingDeg^2    DeepImagingDeg^2    DispersionModel    MeanModelTraining    DistMod.fits                      
0.500     000             000             56        00800        RRZYJHF               ZZYJHF                06                    08                    5               False       0.8      1.1      0                   13                  TwinsLower         True                 all_matrices/cov_mat_0000.fits    
0.500     000             000             56        00800        RRZYJHF               ZZYJHF                06                    08                    5               False       0.8      1.1      0                   13                  NIRLower           True                 all_matrices/cov_mat_0001.fits    
0.500     000             000             56        00800        RRZYJHF               ZZYJHF                06                    08                    5               False       0.8      1.1      0                   13                  NIRLower           False                all_matrices/cov_mat_0002.fits    
0.500     000             000             56        00800        RRZYJHF               ZZYJHF                06                    08                    5               True        0.8      1.1      0                   13                  TwinsLower         True                 all_matrices/cov_mat_0003.fits    
0.500     000             000             56        00800        RRZYJHF               ZZYJHF                06                    08                    5               True        0.8      1.1      0                   13                  NIRLower           True                 all_matrices/cov_mat_0004.fits    
0.500     000             000             56        00800        RRZYJHF               ZZYJHF                06                    08                    5               True        0.8      1.1      0                   13                  NIRLower           False                all_matrices/cov_mat_0005.fits    
0.500     000             000             52        00800        RRZYJH                RRZYJH                04                    06                    5               False       0.6      1.2      0                   19                  TwinsLower         True                 all_matrices/cov_mat_0006.fits    
0.500     000             000             52        00800        RRZYJH                RRZYJH                04                    06                    5               False       0.6      1.2      0                   19                  NIRLower           True                 all_matrices/cov_mat_0007.fits    
0.500     000             000             52        00800        RRZYJH                RRZYJH                04                    06                    5               False       0.6      1.2      0                   19                  NIRLower           True                 all_matrices/cov_mat_0008.fits    
0.500     000             000             52        00800        RRZYJH                RRZYJH                04                    06                    5               False       0.6      1.2      0                   19                  NIRLower           False                all_matrices/cov_mat_0009.fits    
0.500     000             000             52        00800        RRZYJH                RRZYJH                04                    06                    5               True        0.6      1.2      0                   19                  TwinsLower         True                 all_matrices/cov_mat_0010.fits    
0.500     000             000             52        00800        RRZYJH                RRZYJH                04                    06                    5               True        0.6      1.2      0                   19                  NIRLower           True                 all_matrices/cov_mat_0011.fits    
0.500     000             000             52        00800        RRZYJH                RRZYJH                04                    06                    5               True        0.6      1.2      0                   19                  NIRLower           True                 all_matrices/cov_mat_0012.fits    
0.500     000             000             52        00800        RRZYJH                RRZYJH                04                    06                    5               True        0.6      1.2      0                   19                  NIRLower           False                all_matrices/cov_mat_0013.fits    
0.500     000             000             50        00800        RRZYJH                YYJHF                 10                    10                    5               False       0.8      1.3      0                   13                  TwinsLower         True                 all_matrices/cov_mat_0014.fits    
0.500     000             000             50        00800        RRZYJH                YYJHF                 10                    10                    5               False       0.8      1.3      0                   13                  NIRLower           True                 all_matrices/cov_mat_0015.fits    
0.500     000             000             50        00800        RRZYJH                YYJHF                 10                    10                    5               False       0.8      1.3      0                   13                  NIRLower           False                all_matrices/cov_mat_0016.fits    
